news_headline,news_article,news_category
"Assam, Mizoram agree to deploy central force along border after meeting with MHA: Report","After a two-hour-long meeting called by the Ministry of Home Affairs (MHA), Assam and Mizoram agreed to deploy neutral Central Armed Police Force amid the ongoing border tension between the two states, according to reports. Five Assam policemen and a civilian lost their lives after the boundary dispute between Assam and Mizoram escalated on Monday.",national
"14 die in Himachal flash floods in 24 hrs, 3 bodies to be recovered","Fourteen people have died in the last 24 hours due to flash floods triggered by heavy rainfall in Himachal Pradesh, Chief Secretary Anil Kumar Khachi said, adding that three bodies are yet to be recovered. Ten people died in Lahaul and four in Kullu. He urged people to avoid unnecessary travel as IMD has predicted poor weather for 48 hours.",national
HC bans Char Dham Yatra till August 18 in Uttarakhand amid COVID-19,"Uttarakhand High Court on Wednesday banned Char Dham Yatra in the state till August 18 in view of the COVID-19 pandemic. The court also reprimanded the state government for not following COVID-related protocols at tourist places in the state, according to reports. Earlier, the state government had allowed state residents to undertake the Char Dham Yatra from July 1.",national
"Kerala reports 22,056 new COVID-19 cases, 11.2% positivity rate","Kerala on Wednesday reported 22,056 fresh COVID-19 cases and 131 more deaths, according to a statement issued by the state government. The state's daily positivity rate stood at 11.2%, while the number of active cases was 1,49,534. The total number of COVID-19 cases has risen to 33,27,301 and the death toll has reached 16,457.",national
Which states have highest & lowest percentage of people with antibodies against COVID?,"The Centre on Wednesday shared state-wise percentage of people who have developed antibodies against COVID-19 based on the sero-survey conducted by ICMR in 70 districts. Madhya Pradesh has the highest sero-positivity at 79%, followed by Rajasthan, Bihar, Gujarat and Chhattisgarh. Kerala has the lowest sero-positivity at 44.4%, preceded by Assam, Maharashtra, Haryana and West Bengal.",national
Are you serious? Delhi HC as it gives Twitter 'last chance' to comply with IT rules,"The Delhi High Court on Wednesday rejected the affidavits filed by Twitter in response to the case alleging non-compliance of new IT rules and gave the microblogging platform a 'last opportunity' to file better affidavits. ""Are you serious about it,"" Justice Rekha Palli asked Twitter. ""The affidavits clearly show total non-compliance of rules,"" the Delhi High Court observed.",national
BJP MP Nishikant Dubey says Mahua Moitra called him 'Bihari gunda'; TMC MP denies,"BJP MP Nishikant Dubey has alleged that TMC MP Mahua Moitra called him ""Bihari gunda"" at a meeting of the Parliamentary Standing Committee on IT. Moitra denied the allegations and tweeted, ""Am a bit amused by charges of name-calling. IT [meeting] didn't happen because NO quorum...How can I call someone a name who was not even present!! Check attendance sheet!""",national
"3,000 blackbucks seen crossing road in Gujarat, PM shares video & says 'Excellent'","PM Narendra Modi has shared a tweet featuring a video that shows a herd of blackbucks crossing a road. The video was originally shared by the Department of Information, Government of Gujarat with the caption, ""Over 3000 blackbucks were seen crossing the road at Bhavnagar's Blackbuck National Park."" ""Excellent!"" PM Modi wrote sharing the tweet. ",national
US pledges $25 million for India's COVID-19 vaccination drive,"US Secretary of State Antony Blinken on Wednesday announced additional $25 million assistance to help India's COVID-19 vaccination drive. ""This funding will contribute to saving a life by strengthening vaccine supply chain logistics,"" he said. US has already contributed over $200 million for COVID-19 assistance, he said, adding that the US won't forget India's aid during early days of pandemic.",national
US Secretary of State Antony Blinken meets PM Modi in Delhi,"PM Narendra Modi on Wednesday met US Secretary of State Antony Blinken, who arrived in Delhi on a two-day visit on Tuesday. ""I welcome President Biden's strong commitment to strengthen the India-US strategic partnership, which is anchored in our shared democratic values and is a force for global good,"" PM Modi tweeted. Blinken earlier met External Affairs Minister S Jaishankar.",national
"RBI opens up RTGS, NEFT for non-bank payment system providers in phases","The RBI has allowed non-banks to participate in its Centralised Payment Systems (CPS) through Real-Time Gross Settlement (RTGS) and National Electronic Fund Transfer (NEFT) systems, in a phased manner. Authorised payment system providers include prepaid payment instruments, white label ATM operators and card networks. It will reduce the cost of routing payments through banks, RBI said.",national
UP woman dies as doctors leave cloth during C-section in stomach,"A woman, who was seriously ill since a piece of cloth was allegedly left in her stomach during a cesarean operation, died at King George's Medical University, Lucknow on Monday. Her husband said after giving birth to their daughter in January, the victim regularly complained of stomach pain. A three-member committee has been formed to investigate the allegation. ",national
Politics of appeasement won: BJP on COVID-19 spike in Kerala,"BJP spokesperson Sambit Patra on Wednesday said ""politics of appeasement won"" in Kerala, as he criticised the government for relaxing curbs during Eid al-Adha amid COVID-19. He said Uttarakhand and Uttar Pradesh cancelled Kanwar Yatra but Kerala didn't ""follow SC's suggestions"". ""It appears another COVID-19 wave has started in Kerala,"" he added. Today, Kerala reported 22,056 new COVID-19 cases. ",national
"Karnataka reports 1,531 new COVID-19 cases; positivity rate at 1.03%","Karnataka's Department of Health and Family Welfare on Wednesday said that as many as 1,531 new COVID-19 cases and 1,430 recoveries were reported in the last 24 hours. The state has also reported 19 deaths, taking the toll to 36,456. The health bulletin further stated that the state's positivity rate in the last 24 hours was 1.03%.",national
Tamil Nadu launches free vaccination drives at private hospitals,"Tamil Nadu government on Wednesday formally launched the free vaccination drive at private hospitals, by utilising the CSR funds provided by companies. The programme has been rolled out with the CSR funds of CII, which contributed ₹2.20 crore and ₹7 lakh contribution of hospitality service provider Adyar Ananda Bhavan, a release said. The programme was inaugurated by CM MK Stalin.",national
Why Centre doesn't want to conduct caste-based census?: Tejashwi,"RJD leader Tejashwi Yadav on Wednesday asked as to why the Central government is not conducting a caste-based census. Yadav asked why the Centre wants to deprive 70% of the population of the backward and most backward people of their rights. Earlier, Bihar CM Nitish Kumar had said that a caste-based census should be done at least once.",national
AP BJP protests against YSRCP govt for acting against Hindu dharma,"Andhra Pradesh BJP members held dharna against the YSRCP-led state government on Wednesday. BJP has alleged that the state government was acting against the Hindu dharma by encouraging Muslim appeasement and conversions to Christianity. Earlier on Tuesday, BJP state chief Somu Veerraju held a protest at the site where a Tipu Sultan statue is set to be erected.",national
"After tea with Sonia and Rahul, Mamata Banerjee meets Delhi CM","Bengal CM Mamata Banerjee met Delhi Chief Minister Arvind Kejriwal on Wednesday. After the meeting, Kejriwal said, ""It was our first meeting since her resounding victory in West Bengal Assembly elections. Conveyed my best wishes and discussed several political issues with her."" Earlier in the day, Banerjee met Congress chief Sonia Gandhi and MP Rahul Gandhi over tea.",national
BJP distorted J-K's face by destroying Constitution: Mehbooba Mufti,"PDP chief Mehbooba Mufti alleged that BJP has distorted the face of Jammu and Kashmir by destroying the Constitution, adding that the abrogation of Article 370 is illegal and unconstitutional. Mufti added, ""Kashmiris preferred to stay with India and supported government forces...When BJP could struggle for 70 years and abrogate Article 370...then why cannot we struggle for our rights?""",national
Former Prasar Bharati CEO Jawhar Sircar files Rajya Sabha nomination,Former Prasar Bharati CEO Jawhar Sircar on Wednesday filed nomination as TMC Rajya Sabha candidate. Sircar filed his paper in the office of the assembly secretariat in the presence of TMC Secretary General Partha Chatterjee. The Rajya Sabha seat fell vacant after TMC leader Dinesh Trivedi resigned to join BJP ahead of the state assembly poll held earlier this year.,national
